timestamp,log_type,src_ip,dest_ip,method,uri,status,user_agent,bytes,attack_type
2026-01-07T09:00:00,http,198.51.100.22,10.0.0.5,POST,/login,401,curl/7.68.0,493,brute_force
2026-01-07T09:00:05,http,203.0.113.45,10.0.0.5,GET,/admin,200,Mozilla/5.0,1024,normal
2026-01-07T09:00:10,http,192.168.1.10,10.0.0.5,POST,/api/auth,302,Mozilla/5.0,1939,normal
2026-01-07T09:00:15,http,198.51.100.22,10.0.0.5,GET,/admin,200,curl/7.68.0,157,ddos
2026-01-07T09:00:20,http,192.168.1.10,10.0.0.5,POST,/dashboard,200,Mozilla/5.0,1682,normal
2026-01-07T09:00:25,http,45.83.23.19,10.0.0.5,POST,/login,401,python-requests/2.28.1,321,brute_force
2026-01-07T09:00:30,http,45.83.23.19,10.0.0.5,GET,/dashboard,200,curl/7.68.0,112,ddos
2026-01-07T09:00:35,http,203.0.113.45,10.0.0.5,GET,/admin,302,Mozilla/5.0,1685,normal
2026-01-07T09:00:40,http,203.0.113.45,10.0.0.5,GET,/api/auth,200,Mozilla/5.0,595,normal
2026-01-07T09:00:45,http,198.51.100.22,10.0.0.5,GET,/api/auth,200,curl/7.68.0,68,ddos
2026-01-07T09:00:50,http,198.51.100.22,10.0.0.5,POST,/login,401,curl/7.68.0,397,brute_force
2026-01-07T09:00:55,http,192.168.1.10,10.0.0.5,POST,/admin,200,Mozilla/5.0,925,normal
2026-01-07T09:01:00,http,198.51.100.22,10.0.0.5,GET,/api/auth,200,python-requests/2.28.1,268,ddos
2026-01-07T09:01:05,http,192.168.1.10,10.0.0.5,GET,/api/auth,200,Mozilla/5.0,1988,normal
2026-01-07T09:01:10,http,192.168.1.10,10.0.0.5,GET,/api/auth,200,Mozilla/5.0,1502,normal
2026-01-07T09:01:15,http,45.83.23.19,10.0.0.5,POST,/login,401,curl/7.68.0,781,brute_force
2026-01-07T09:01:20,http,192.168.1.10,10.0.0.5,GET,/admin,200,Mozilla/5.0,517,normal
2026-01-07T09:01:25,http,203.0.113.45,10.0.0.5,GET,/admin,302,Mozilla/5.0,419,normal
2026-01-07T09:01:30,http,45.83.23.19,10.0.0.5,GET,/admin,200,Mozilla/5.0,135,ddos
2026-01-07T09:01:35,http,192.168.1.10,10.0.0.5,GET,/api/auth,200,Mozilla/5.0,1205,normal
2026-01-07T09:01:40,http,198.51.100.22,10.0.0.5,POST,/login,401,python-requests/2.28.1,541,brute_force
2026-01-07T09:01:45,http,198.51.100.22,10.0.0.5,GET,/dashboard,200,Mozilla/5.0,187,ddos
2026-01-07T09:01:50,http,203.0.113.45,10.0.0.5,POST,/api/auth,302,Mozilla/5.0,1672,normal
2026-01-07T09:01:55,http,203.0.113.45,10.0.0.5,GET,/api/auth,200,Mozilla/5.0,730,normal
2026-01-07T09:02:00,http,45.83.23.19,10.0.0.5,GET,/login,200,curl/7.68.0,91,ddos
2026-01-07T09:02:05,http,45.83.23.19,10.0.0.5,POST,/login,401,curl/7.68.0,500,brute_force
2026-01-07T09:02:10,http,192.168.1.10,10.0.0.5,POST,/admin,302,Mozilla/5.0,1453,normal
2026-01-07T09:02:15,http,198.51.100.22,10.0.0.5,GET,/api/auth,200,python-requests/2.28.1,285,ddos
2026-01-07T09:02:20,http,192.168.1.10,10.0.0.5,GET,/api/auth,200,Mozilla/5.0,478,normal
2026-01-07T09:02:25,http,203.0.113.45,10.0.0.5,GET,/dashboard,200,Mozilla/5.0,1051,normal
